epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2671.07,0.88565,0.5424,0.90394,0.96418,0.86532,0.91704,0.60305,1.20422,0.63287,0.97218,0.007921,0.007921,0.007921
44,2732.68,0.88162,0.53884,0.8997,0.96424,0.86418,0.91723,0.60315,1.20373,0.63361,0.97201,0.0078715,0.0078715,0.0078715
45,2794.91,0.89589,0.54889,0.90485,0.96409,0.86532,0.91679,0.60236,1.20462,0.63398,0.97263,0.007822,0.007822,0.007822
46,2856.61,0.88724,0.54041,0.90252,0.96296,0.8657,0.91684,0.60273,1.20423,0.6343,0.97209,0.0077725,0.0077725,0.0077725
47,2917.81,0.9039,0.55047,0.90606,0.96388,0.86554,0.9165,0.60166,1.20432,0.63347,0.9724,0.007723,0.007723,0.007723
48,2979.79,0.9011,0.54421,0.90391,0.96392,0.86303,0.917,0.60316,1.2044,0.63361,0.97271,0.0076735,0.0076735,0.0076735
49,3041.39,0.89128,0.54239,0.90125,0.96322,0.86417,0.91664,0.60268,1.20408,0.63339,0.97199,0.007624,0.007624,0.007624
50,3102.67,0.88529,0.5473,0.90094,0.96399,0.86379,0.91688,0.60305,1.20414,0.63334,0.97235,0.0075745,0.0075745,0.0075745
51,3164.81,0.87944,0.54694,0.90326,0.9619,0.86417,0.91647,0.60295,1.20439,0.63348,0.97232,0.007525,0.007525,0.007525
52,3226.53,0.89341,0.54188,0.89872,0.96236,0.86379,0.91675,0.60227,1.20439,0.63394,0.97249,0.0074755,0.0074755,0.0074755
53,3289.82,0.89272,0.54759,0.90424,0.96464,0.86494,0.917,0.60291,1.20438,0.6337,0.97259,0.007426,0.007426,0.007426
54,3351.4,0.88973,0.54493,0.90412,0.96511,0.86341,0.91702,0.60362,1.2045,0.63431,0.97256,0.0073765,0.0073765,0.0073765
55,3414.16,0.88915,0.5414,0.89877,0.96376,0.86456,0.91714,0.60269,1.20496,0.63468,0.97281,0.007327,0.007327,0.007327
56,3476.74,0.8925,0.54996,0.90343,0.964,0.86494,0.91699,0.60239,1.20454,0.63326,0.97213,0.0072775,0.0072775,0.0072775
57,3536.9,0.89204,0.54816,0.90214,0.96343,0.86444,0.91697,0.6025,1.20473,0.63365,0.97245,0.007228,0.007228,0.007228
58,3597.89,0.88387,0.54222,0.89953,0.9634,0.86456,0.91672,0.60282,1.20417,0.63327,0.97234,0.0071785,0.0071785,0.0071785
59,3657.85,0.88754,0.54266,0.90295,0.964,0.86417,0.91691,0.60256,1.20431,0.6321,0.97222,0.007129,0.007129,0.007129
60,3719.35,0.89781,0.54473,0.90177,0.96465,0.86379,0.91707,0.60335,1.20419,0.63319,0.9721,0.0070795,0.0070795,0.0070795
61,3780.51,0.89569,0.54858,0.90425,0.96382,0.8639,0.91686,0.60168,1.2042,0.63333,0.97235,0.00703,0.00703,0.00703
62,3840.12,0.89249,0.54705,0.90561,0.96507,0.8643,0.91739,0.60248,1.20433,0.63366,0.97233,0.0069805,0.0069805,0.0069805
63,3900.71,0.89031,0.54724,0.90218,0.96382,0.86405,0.91677,0.60179,1.20447,0.63393,0.97213,0.006931,0.006931,0.006931
64,3960.71,0.89424,0.5426,0.89829,0.96462,0.86338,0.91675,0.60292,1.20439,0.63513,0.97215,0.0068815,0.0068815,0.0068815
65,4021.72,0.89637,0.54603,0.90197,0.96381,0.86362,0.91641,0.60241,1.20444,0.63316,0.97238,0.006832,0.006832,0.006832
66,4082.35,0.89521,0.54493,0.90135,0.96421,0.86352,0.91658,0.6017,1.20399,0.63335,0.97244,0.0067825,0.0067825,0.0067825
67,4145.31,0.88692,0.54521,0.90321,0.9649,0.86456,0.91708,0.6027,1.20371,0.63218,0.97225,0.006733,0.006733,0.006733
68,4207.27,0.90368,0.55213,0.90535,0.96423,0.86401,0.91712,0.60311,1.204,0.63257,0.9724,0.0066835,0.0066835,0.0066835
69,4269.01,0.88339,0.54021,0.90339,0.96424,0.86429,0.91736,0.60383,1.20428,0.63331,0.9724,0.006634,0.006634,0.006634
70,4330.61,0.89699,0.54666,0.90056,0.96337,0.86417,0.91705,0.60387,1.20431,0.63415,0.97253,0.0065845,0.0065845,0.0065845
71,4392.03,0.87869,0.5395,0.9037,0.96385,0.86465,0.91744,0.60413,1.20452,0.63459,0.97245,0.006535,0.006535,0.006535
72,4453.77,0.88455,0.5397,0.90227,0.96391,0.86341,0.91689,0.60261,1.20432,0.63301,0.97249,0.0064855,0.0064855,0.0064855
73,4515.38,0.88671,0.53772,0.8991,0.96344,0.86458,0.91679,0.60286,1.20446,0.63412,0.97228,0.006436,0.006436,0.006436
74,4576.93,0.89578,0.54817,0.90403,0.96509,0.865,0.91697,0.60267,1.20445,0.63232,0.97238,0.0063865,0.0063865,0.0063865
75,4638.61,0.89405,0.54588,0.90113,0.96408,0.86379,0.9168,0.60298,1.20451,0.634,0.97245,0.006337,0.006337,0.006337
76,4699.92,0.87072,0.53383,0.89362,0.96347,0.86341,0.9168,0.60317,1.20438,0.63334,0.97234,0.0062875,0.0062875,0.0062875
77,4761.7,0.8868,0.53951,0.8992,0.96424,0.86428,0.91724,0.60394,1.20456,0.63399,0.97262,0.006238,0.006238,0.006238
78,4823.39,0.8842,0.54493,0.89524,0.96343,0.86439,0.91674,0.60345,1.20415,0.6352,0.97226,0.0061885,0.0061885,0.0061885
79,4884.17,0.88394,0.5405,0.90047,0.96421,0.86333,0.91684,0.60335,1.20438,0.63528,0.97222,0.006139,0.006139,0.006139
80,4945.76,0.88139,0.54011,0.9021,0.96389,0.86341,0.91683,0.60317,1.20444,0.63325,0.97211,0.0060895,0.0060895,0.0060895
81,5007.62,0.89177,0.54452,0.89938,0.96388,0.86341,0.91708,0.60368,1.20426,0.63384,0.97244,0.00604,0.00604,0.00604
82,5069.03,0.89514,0.54732,0.89949,0.96421,0.8633,0.91709,0.60312,1.20464,0.63518,0.97252,0.0059905,0.0059905,0.0059905
83,5130.6,0.8891,0.54148,0.90079,0.96333,0.86494,0.91684,0.6027,1.2042,0.63432,0.97218,0.005941,0.005941,0.005941
